identifiant_ban;numero_dpe
73132_0595_00039;2573E1141812V
73029_0330_00011;2573E0826455S
73008_1770_00481;2573E1266303Y
73117_0066_00005;2573E0629435A
73065_3868_00077;2573E0206678D
73157_0066;2573E1357879C
73186_0165;2573E0477865K
73322_aa4gyz;2573E1048759W
73248_0140_00006;2573E0518851U
73010_2101_00751;2573E0838896F
73065_1745_00164;2573E0900526P
73008_1356_00053;2573E0618474L
73008_1180_00013;2573E0646098X
73008_1032_00028;2573E1108938L
73031_0241_01206;2573E1154554X
73296_0096;2573E1153748X
73289_0600_00150;2573E0604142F
73135_0015_00285;2573E0941446L
73051_twqhb9_00010;2573E0549927A
73257_0397_00125;2573E1271011A
73304_6yiwho_00100;2573E0393057O
73008_0880_00035;2573E0600242F
73105_0020_00038;2573E0903483I
73171_0260;2573E1192676D
73065_3885_00127;2573E0769578D
73116_0935;2573E0319887I
73065_1445_00147;2573E1028682R
73242_vb8wrz_00135;2573E0993512Z
73300_0400_00009;2573E0947770R
73212_1015_00005;2573E0587480J
73157_0600_00004;2573E0022377Q
73265_0850_00006;2573E1142069S
73306_0112_00172;2573E0978605Q
73296_0039;2573E0103911O
73051_0260_00223;2573E0244453A
73065_1760_00226;2573E1046031Y
73129_0088;2573E0370753S
73157_0066;2573E0486762P
73154_0021_00063;2573E0803542L
73065_2770_00038;2573E0951420B
73171_0260;2573E1192639S
73179_0160_00127;2573E1290634T
73008_0690_00014;2573E1437431U
73303_0510_00018;2573E0734874J
73105_0105_00254;2573E1004214P
73065_1150_00009;2573E0713648Z
73243_0200_02136;2573E1233228V
73248_1020_00079;2573E1323045I
73065_2076_00090;2573E0223372F
73258_0680_00315;2573E0052105A
73008_0200_00006;2573E1158205I
73087_0760;2573E0243931Y
73179_0380_00150;2573E0086756T
73011_0772_00092_bis;2573E0697589I
73171_0260;2573E1393521Y
73090_0150_00069;2573E0025349Y
73179_0257_00073;2573E0294905M
73270_mrrv16_00260;2573E0581857C
73011_1490_01032;2573E1183068P
73013_A060;2573E1140147U
73008_1352_00007;2573E0652253Q
73171_0260;2573E1192725A
73087_0760;2573E0280164N
73257_0433;2573E0594940H
73065_1580_00015;2573E0641494V
73051_0340_00649;2573E0997194P
73270_0490_00025;2573E0580290V
73270_mrrv16_00260;2573E0581892L
73303_0522_01153;2573E0876373Q
73029_0470;2573E1100793E
73067_0125;2573E0294238V
73065_2770_00526;2573E0528173I
73128_0134_00357;2573E0706907S
73257_0433;2573E0594870P
73123_0060_00070;2573E1331238L
73296_0113_00379;2573E1133085E
73087_0760;2573E0280128D
73008_0940_00033;2573E0323985Y
73160_1325;2573E0397988F
73003_6nh43q_00148;2573E1201720Z
73248_0535_00274;2573E0575196X
73098_0150;2573E0958256Z
73008_0090_00002;2573E0370877M
73006_0161_00117;2573E0993881E
73301_0090;2573E1159298J
73150_0857;2573E1104465K
73121_0065_00003;2573E0690254F
73008_1305_00027;2573E0568044V
73261_0320;2573E0958974P
73065_2810_00670;2573E0800744V
73243;2573E0499336F
73105_0105_00261;2573E0690282H
73029_0406_00030;2573E0857182N
73067_0125_00133;2573E0688262P
73329_0093_00025;2573E0617324F
73150_pnh2rp;2573E0139581M
73008_1970_00021;2573E1214889M
73248_0680_00330;2573E0687826V
73150_0849;2573E0199372D
73213_0050_00375;2573E0653060R
73241_0280_00226;2573E0106878R
73270_mrrv16_00260;2573E0581906Z
73008_0104_00142;2573E1341407O
73087_0760_00003;2573E1021876X
73222_0420_00137;2573E1058694Z
73151_0820;2556E0679545R
73024_qv6ogw_00527;2573E1284102N
73024_2ckpwl;2573E1125446J
73011_1205;2573E1372287G
73065_2160_00106;2573E0043103U
73065_0720_00726;2573E0928700F
73179_0257;2573E0981789C
73247_0640_00011;2586E1340010I
73087_0490_00036;2573E0463719I
73008_1580;2573E0133681O
73011_0280_00041_bis;2573E0579583Q
73065_2000_00028;2573E0544359W
73068_2000_00119;2573E0384056J
73067_0125_00099;2573E0293890L
73065_1743_00208;2573E0223373G
73306_0545;2573E0644484V
73129_0091;2573E0044198X
73065_3400_00002;2573E0630681Y
73191_0005_00104;2573E0881299C
73171_0260;2573E1393575A
73029_0080_00032;2573E1168914F
73248_0535_00274;2573E0575403W
73261_0314;2573E0373892L
73067_0125_00133;2573E0688256J
73132_0051_00240;2573E0215019Y
73031_0135_00086;2573E1400691S
73227_2555_00079;2573E1132555U
73257_0355_01035;2573E0982312F
73225_0157_02304;2573E0178877W
73129_0091;2573E0044211K
73186_0060_00166;2573E1406349I
73290_0067_00614;2573E1203606N
73054_0072_00116;2573E1180104P
73261_0150_00029;2573E1457558X
73008_1770_00035;2573E0903786Z
73137_0010_01577;2573E0083621E
73095_0056_00173;2573E1442612B
73157_0250_00012;2573E0546835C
73029_cyqz3b_00002;2573E0841652F
73179_0257_00073;2573E0294892Z
73181_0930_00225;2573E1150673Q
73008_1290_00008;2573E1381478T
73031_0241_01206;2573E1154631W
73182_0024_00057;2573E0996867A
73065_5ro68i_00100;2573E1163289W
73150_B206;2573E0135553O
73121_0072_00017;2573E0150182F
73227_1350_00122;2573E0011944J
73128_0150_00606;2573E0560005Q
73171_0260;2573E1057295E
73008_0409_00047;2573E0881966T
73304_0435;2573E0705352X
73008_2020_00048;2573E0056812B
73029_0360_00002;2573E1447511M
73187_1246_00108;2573E0764424X
73213_0113_00085;2573E0581006J
73087_0140;2573E0350214T
73071_0047;2573E1093788T
73064_0270_00041;2573E1205334Z
73181_0930_00225;2573E1150677U
73084_0360_00072;2573E0619077Q
73051;2573E0205894Z
73065_1820_00001;2573E0400844B
73257_0433;2573E0594858D
73261_0320;2573E1014413W
73179_0257_00073;2573E0294895C
73051;2573E0384394J
73087_0760;2573E0243938F
73215_0170_00007;2573E1356285U
73122_0350_01036;2573E0620235E
73213_0200_00684;2573E1247736V
73213_0460_00680;2573E0394575Y
73248_1020_00079;2573E1323064B
73303_c5telw_00119;2573E0834076V
73067_0125_00099;2573E0688124H
73008_2260_00005;2573E0069135A
73248_0680_00330;2573E0279664H
73116_0935;2573E1145821A
73073_0900_00726;2573E0234356R
73257_0433;2573E0594886F
73187_1184_00007;2573E0529076B
73011_0510;2573E0262435Q
73004_m99mdz;2573E1016041M
73213_0460_00680;2573E0395968N
73117_0200_00010;2573E0655869S
73065_2330_00042;2573E0070607Q
73204_0110_00006;2573E0615262X
73307_0016;2573E0849408N
73179_0257_00073;2573E0294902J
73142_0045;2573E0683937G
73077_0307_00016;2573E0313753K
73065_3733;2573E1018619Q
73008_1270_00002;2573E0517456D
73179_0257;2573E0981778R
73151_0041_00715;2573E1119555U
73248_1200;2573E0094576N
73065_0970_00151;2573E1288787S
73006_1010_00843;2573E0383531E
73261_0320;2573E1013833O
73284_0015_00090;2573E0868401A
73008_0104_00066;2573E1278428H
73065_3100;2573E0015770N
73094;2573E0609841K
73261_0130_00012;2573E1059237W
73008_0104_00160;2573E1339086H
73008_0690_00008;2573E1435969O
73157_0055;2573E1214199Y
73261_0150_00002;2573E0532434F
73015_0270_00123;2573E1403795C
73029_0020_00068;2573E0979324H
73289_0510_00245;2573E0545363M
73034_0255_00482;2573E1037933M
73179_0640_00110;2573E0090225E
73135_0246_00036;2573E0770566D
73322_3g11y8_00319;2573E1197876D
73008_0690_00014;2573E1437581O
73215_0052;2573E0454240T
73307;2573E0364554H
73204_A081;2573E0664144Z
73171_0048;2573E0686024N
73312_0023_00290;2573E0104042P
73121_0100_00001_bis;2573E0429862D
73008_0104_00066;2573E1278401G
73029_0360_00002;2573E1447464R
73087_0310_00014;2573E0392572X
73065_1360_00009;2573E0082239A
73307_ussab7_00046;2573E0628916B
73105_0020_00038;2573E0903493S
73137_0072_00420;2573E0628601Y
73296_0113;2573E1298764L
73304_0165;2573E0254528N
73008_1752_00074;2573E0872235M
73212_1013_00001;2573E0244011A
73008_1300_00025;2573E1255339G
73029;2573E0651205I
73284_0003;2573E0650459Q
73029;2573E0651255G
73065_5ro68i_00100;2573E1162528P
73303_0299_00022;2573E0106320F
73008_1890_00001;2573E0897738J
73204_0290;2573E1380095O
73057_0009;2573E0785966L
73087_0760_00003;2573E1021737O
73179_0257_00073;2573E0077605U
73284_0021_00326;2573E0873974J
73064_0442_00153;2573E0210121O
73008_1100_00019;2573E1177190N
73029_cyqz3b_00002;2573E0841728D
73213_0113_00085;2573E0581033K
73011_0170_00014;2573E1284718F
73008_1310_00235;2573E1337841K
73065_3868_00077;2573E0223566R
73029_0560_00006;2573E0487049Q
73008_1120_00007;2573E1404500F
73065_1000_00153;2573E0006727S
73290_0124_00260;2573E0418581G
73065_0250_00036;2573E0394782X
73008_0780_00026;2573E0826957A
73015_0960;2573E0181345U
73029_0090_00024;2573E0685674B
73011_1190_00042;2573E0257227I
73087_0760;2573E0243935C
73065_3868_00077;2573E0223516T
73257_0514;2573E0545408F
73328_0040_00011;2573E0848640Z
73101;2573E1180208P
73235_d7puww;2573E0131858L
73065_1743_00166;2573E1021228Z
73132_0260;2573E0030017M
73124_0380;2573E0718308F
73065_1560_00010;2573E1004118X
73304_0205;2573E0704648V
73065_1860_00022;2573E0201502B
73304_0455;2573E0485022R
73317_0750;2573E0313403Y
73227_2140;2573E0102844N
73051_0340_00450;2573E0124015U
73008_1752_00055;2573E0466458R
73248_0830_00083;2573E0560683S
73213_0190_00194;2573E0684323C
73029_0360_00002;2573E1447639K
73181_0930_00225;2573E1150666J
73067_0125_00133;2573E0294135W
73018_0022;2573E0403280T
73213_0460_00638;2573E0710002T
73051_0060;2573E0427203W
73181_0930_00285;2573E1151499K
73065_0991_00108;2573E0223424F
73041_0001;2573E0266533G
73215_0010_00002;2573E1309671Y
73015_0960;2573E0299504J
73179_0257_00078;2573E0574446B
73008_0405_00006;2573E0552894D
73105_0174_00157;2573E1242510V
73247_0640;2586E1339991P
73065_1990_00130;2573E1267941Y
73213_0460_00680;2573E0688767A
73003_7zscpi_00100;2573E0748282B
73019_0062_00352;2573E0245069S
73227_2425_00009;2573E1397880P
73191_0005_00028;2573E0869215I
73265_1750_00089;2573E1216679I
73010_2860_00077;2573E0283313Q
73015_0960;2573E0195487S
73008_0104_00160;2573E1339118N
73257_vew89u;2573E1435367K
73024_690wx1_00049;2573E0810796L
73171_0260;2573E1192635O
73257_0355;2573E0919249S
73065_3370_00006;2573E1408846J
73087_0760_00003;2573E1021730H
73222_0239_00050;2573E0797621S
73065_3858_00076;2573E0768282H
73065_1030_00004;2573E0629559U
73085_0005_00245;2573E0712493O
73008_s79m0c;2573E1389539U
73006_0185_00077;2573E0580407I
73197_0025_00106;2573E1265241C
73008_2130_00017;2573E0838182T
73262_0133;2573E1012578H
73151_1200;2530E0352283R
73304_0455;2573E0592905A
73307_ussab7_00046;2573E0628918D
73215_0052;2573E0470685G
73141_0156_00230;2573E0936742N
73003_i86ts0_00171;2573E1316415I
73054_q7mx1h;2573E0696709M
73065_1230_00139;2573E0666302Z
73105_0051;2573E1435869S
73171_0260;2573E1057287W
73213_0460_00680;2573E0392082B
73065_0772_00143;2573E0439716D
73179_0616;2573E0288454J
73121_0035_00010;2573E0186611I
73181_0140;2573E0343538Z
73008_0900_00003;2573E0298212R
73065_3868_00077;2573E0223536N
73151_0820;2556E0010389X
73008_1150_00017;2573E0295160H
73257_0433;2573E0594965G
73065_2430_00002;2573E0099304J
73008_1305_00027;2573E0568013Q
73228_0001_02850;2573E0825670N
73300_0247_00006;2573E1458700V
73171_0048;2573E0261465I
73213_0460_00680;2573E0392234X
73289_0510_00245;2573E0545362L
73248_0330_00016;2573E1244493C
73065_2788_00086;2573E0450426B
73330_0220_00032;2573E0358755G
73128_0064_00368;2573E1267638H
73157_0392_00009;2573E0256409W
73248;2573E0463176L
73248_0535_00056;2573E0277632D
73008_1987_00001;2573E0961735U
73261_0320_00006;2573E1396372P
73077_0307_00016;2573E0314197M
73003_4zzrhu_00056;2573E0397957A
73058_0033_00259;2573E0329419Y
73181_0540_00019;2573E0959033W
73290_0152_00188;2573E0376515I
73318_bo6eoc;2573E1330041K
73213_0518_00080;2573E0088110V
73154_0058_01375;2573E1063132R
73318_tjst4n;2573E0379918F
73157_0250_00005;2573E0358163M
73114_0062_00322;2573E0484702J
73257_0433;2573E0594899S
73179_0646_00089;2573E1328120N
73021_0073_00255;2573E0981685C
73008_1500_00010;2573E0475087O
73123_0028_01026;2573E0935121E
73132_0072;2473E4613032G
73257_0419;2573E0869184D
73065_2770_00150;2573E0899808Z
73261_0320;2573E0958996L
73317_0750_00791;2573E1155667S
73011_1205;2573E1372292L
73087_0760;2573E0280069W
73064_0330_00096;2573E0728119O
73304_0455;2573E0485056Z
73248_0535_00056;2573E0280499K
73054_0200;2573E0593632Z
73065_3780_00391;2573E1059655Y
73293_0360;2573E0284953S
73186_0165_02465;2573E0491334L
73054_q7mx1h;2573E0890770J
73151_0820;2556E0572769X
73304_6snmbc;2573E0350914R
73065_3780_00289;2573E0858189G
73248_0535_00056;2573E0280410Z
73032_0920_00107;2573E0615261W
73008_1230_00007;2573E0605213K
73008_1510_00042;2573E0523520J
73029_0020_00068;2573E0979323G
73248_1020_00079;2573E1323061Y
73008_0280_00053;2573E0655755I
73261_0320;2573E0958389C
73132_0430_00361;2573E0389744D
73054_0020_00102;2573E1027861C
73294_0001_00882;2573E0715370F
73029_cyqz3b_00002;2573E0841716R
73109_0051_00085;2573E0960495C
73008_0104_00160;2573E1342362H
73006_1230;2573E1122699S
73006_0320_00316;2573E0073424Z
73054_0549_00634;2573E1216035O
73173_0052;2573E0913961I
73117_0070_00004;2573E1297974B
73057_0009;2573E0786008B
73065_1000_00172;2573E1023166N
73059_0020;2573E0786845G
73004_jgs35m_01155;2573E0686508D
73008_1120_00007;2573E1404477I
73194_5jdcsw;2573E0223126T
73065_3730_00020;2573E1334407I
73074_0136_00032;2573E0312828V
73008_0720_00002;2573E1323886R
73153_0026_00818;2573E0595030T
73054_tqf1g0;2573E0904278X
73150_0866_00770;2573E1419723S
73008_1290_00006;2573E1382541Q
73054_1055_00200;2573E1371557E
73257_0433;2573E0822976X
73150_0837;2573E1451746J
73257_0514;2573E0688549Q
73257_0433;2573E0595026P
73008_2260_00010;2573E1220956V
73257_0433;2573E0595023M
73029;2573E0651342P
73150_0795;2573E0127164X
73179_0719_00080;2573E0262141I
73179_0300_00023;2573E1020631A
73146_awv6yp;2573E0473548J
73088_0020;2573E0972146F
73296_0052;2573E0377085G
73065_3270_00054;2573E0668524L
73248_0140_00006;2573E0518845O
73194_bi9q4z;2573E0210749S
73008_0690_00008;2573E1435965K
73241_0165_00045;2573E1121847Y
73303_0250_00005;2573E0402297Y
73008_0900_00009;2573E1298455O
73117_0200_00010;2573E0655919Q
73200_0110;2573E0894725M
73261_0320;2573E0959809S
73117_0200_00010;2573E0655844T
73206_0039_00115;2573E1264167U
73015_0960;2573E1193279I
73248_0535_00274;2573E0575252B
73268_0001_00370;2573E0271580J
73290_0153;2573E0780123S
73132_0051_00240;2573E1403228H
73235_wm2xc8;2573E1220714N
73290_0135;2573E1331529Q
73065_2320_00006_bis;2573E0413310N
73064_a001_00004;2573E1301476T
73085_0070_01033;2573E0784606D
73179_0257;2573E0574104X
73155_0070_00895;2573E1375870B
73011_0890_00017;2573E0652507K
73065_1580;2573E0958338D
73288_0041_00048;2573E0258168N
73213_0303_00050;2573E0578243C
73257_0497_00100;2573E0225198L
73054_q7mx1h;2573E0681050F
73065_0930_00148;2573E1157129Y
73269_0400;2573E1391429M
73008_1305_00027;2573E0567999C
73057_0009;2573E0785983C
73213_0230_00220;2573E0615360R
73171_0260;2573E1192604J
73089_1850_00988;2573E1212542F
73213_0460_00680;2573E0394591O
73151_0820;2556E0587357Z
73011_0940_00031;2573E0196779K
73253_0100_00084;2573E0127803M
73117_0066_00005;2573E0629417I
73084_1290_00077;2573E0259305G
73054_0256_00546;2573E0211512B
73031_0241_00961;2573E0529908B
73194_jrew04;2573E0281392T
73176_0030_00399;2573E0779325A
73171_0260;2573E1057331O
73058_0006_00041;2573E0693610H
73213_0460_00680;2573E0392059E
73065_1460_00001;2573E0769992B
73227_2575_00133;2573E0461755U
73065_2420_00106;2573E0309156P
73213_0050_00267;2573E1312730P
73257_0433;2573E0595017G
73100_0069_00004;2573E1145642D
73215_0052;2573E0499918P
73196_0010_00449;2573E1374474J
73154_0021_01131;2573E0908406R
73303_0230_00012;2573E0718478T
73188_xuwhka_00087;2573E0006751Q
73065_0020_00022;2573E1349625Q
73107_oicas8_01856;2573E0193707G
73024_vq25vk_00356;2573E1279210J
73065_1743_00208;2573E0223362V
73140_0290_03176;2573E0979371C
73284_0005_00011;2573E0689450H
73261_0150_00015;2573E0416729A
73245_6qhq5u_00102;2573E0652118L
73304_0455;2573E0485002X
73261_0320;2573E1014725W
73065_1740_00042;2573E0380986H
73306_0250;2573E0314768L
73306_0014;2573E1200050T
73064_0040_00397;2573E1049715Q
73008_1752_00055;2573E0466781C
73257_0657_00040;2573E0636244X
73105_0174_00157;2573E1242573G
73171_0260;2573E0830078B
73008_1752_00073;2573E0464155C
73132_0045_00284;2573E1182651O
73261_0320;2573E1014388X
73261_0320;2573E0959451Y
73029;2573E0651305E
73248_0535_00274;2573E0575407A
73121_0035_00033;2573E0414568X
73065_3720_00006;2573E0541080T
73181_0930_00285;2573E1151572F
73055_0020_00144;2573E0090092B
73173_0052;2573E0655558T
73261_0320;2573E0959799I
73121_0065_00003;2573E0690262N
73280_zeql03;2573E0266744J
73007_0111_00309;2573E0429228T
73310_0650_00429;2573E0027324X
73215_0360_00004;2573E0741947K
73065_3868_00077;2573E0206699Y
73222_0360_00464;2573E0551080J
73248_0535_00274;2573E0575436D
73257_0433;2573E0594942J
73179_0781_00560;2573E0259324Z
73318_tjst4n;2573E1127222R
73171_0260;2573E1192782F
73031_0360;2573E1365946J
73008_1580_00073;2573E0593560F
73173_0052;2573E0913964L
73054_tqf1g0;2573E0295460V
73029_0480_00024;2573E0460647E
73213_0460_00638;2573E0709743U
73243_0002_00764;2573E0043383O
73008_0104_00160;2573E1342337I
73065_3868_00077;2573E0223563O
73058_0032_00260;2573E0691459O
73105_0105_00239;2573E1001717O
73154_0043_00134;2573E0076355S
73067_0125_00133;2573E0688215U
73017_07vnov;2556E0699864E
73213_0303_00050;2573E0578219E
73116_cixutz;2573E0353022T
73065_2410_01455;2573E0445329A
73183_0020_00671;2573E0676099U
73006_1230;2573E1179133G
73248_0791_00027;2573E1278220H
73015_0001;2573E0850788P
73235_ucmfc7;2573E1025875S
73065_1743_00208;2573E0223274L
73155_0070_00895;2573E1375901G
73281_0650_00359;2573E0758887Y
73248_0535_00274;2573E0575416J
73015_0980;2573E1243395W
73065_2788_00086;2573E1220175U
73171_0260;2573E1393604D
73011_1210_00006;2573E1452237G
73010_1430_00259;2573E0634918X
73179_0180_00168;2573E0015558J
73065_0910_00059;2573E1189883S
73215_0375_00011;2573E0193931W
73179_0380_00150;2573E0281841A
73054_q7mx1h;2573E0584412J
73248_0535_00274;2573E0575263M
73249_0010_00625;2573E1394592D
73150_0726;2573E0231310N
73171_0280_00014;2573E1090862F
73054_0425_00052;2573E1013483C
73008_0258_00165;2573E1363317G
73246_jczejj_00221;2573E0631304X
73179_0257_00078;2573E0574453I
73261_0320;2573E0958431S
73008_1920_00056;2573E0861245U
73329_0124_00102;2573E1039013A
73213_0460_00680;2573E0689089K
73303_0429_00183;2573E1435034P
73257_0329;2573E0814972B
73029;2573E0651229G
73132_0072;2573E1001186D
73183_0015_00241;2573E0827603W
73008_0130_00006;2573E1047842P
73151_1364_00105;2573E0460552N
73261_0320;2573E1014440X
73157_0270_00025;2573E1099294N
73065_1510_00088;2573E0931184T
73065_2900_00146;2573E1407618D
73179_0645_00179;2573E1406246J
73212_1015_00005;2573E0587468X
73212_0185_00018;2573E0881067E
73008_2300_00014;2573E1269370X
73179_0385_00071;2573E1224477G
73030_0184_00470;2573E0445480V
73253_1450_00051;2573E0187675G
73065_0770_00806;2573E1462202N
73008_1580_00031;2573E0692984F
73215_qjih4w_00734;2573E0968421Y
73301_0148;2573E0515961Q
73029_cyqz3b_00002;2573E0841539W
73054_0610;2573E1280805S
73173_0052;2573E0655511Y
73213_0460_00680;2573E0394569S
73307_ussab7_00046;2573E0628931Q
73257_0475;2573E1006862L
73162_0049_00160;2573E0685075A
73116_0410_00124;2573E0457261Y
73259_0rzkjp_00015;2573E0686506B
73213_0475_00002;2573E1138056J
73087_0230_00019;2573E0780803W
73008_1345_00160;2573E0423405U
73087_0760;2573E0280196T
73218_0500_00062;2573E0764392R
73151_0820;2556E0175645X
73154_0045_00126;2573E0264031A
73079_0080;2573E0384555O
73064_0270_00041;2573E1308797I
73213_0460_00680;2573E0375986Z
73114_0030_00001;2573E1364930H
73065_3370_00006;2573E1408859W
73087_0760_00003;2573E0672576H
73289_0510_00245;2573E0546216H
73257_0433;2573E0594985A
73054_0256_00112;2573E0611161E
73179_0652_00123;2573E1078480Z
73179_a170_00098;2573E0216271C
73008_0104_00142;2573E1341396D
73307_sag1iw_00174;2573E1242567A
73129_0016_00090;2573E0620595A
73246_jczejj_00223;2573E0631466D
73121_0101_00004;2573E1061673O
73261_0074_00013;2573E1058840P
73087_0760;2573E0243934B
73160_1400;2573E1119524P
73213_0460_00680;2573E0394547W
73261_0320;2573E1014087I
73100_0030_00165;2573E0386896P
73248_0140_00006;2573E0518844N
73082_0550_00907;2573E0029865Q
73087_0310_00006;2573E1364893W
73157_0230_00070;2573E0696078F
73064_0340_00070;2573E1185053Y
73142_0042;2573E1413354T
73186_720m1g_00105;2573E1226802R
73029_0050_00025;2573E0946681U
73213_0513_00085_g;2573E0580571Q
73130_0151_02126;2573E0160120L
73227_2500;2573E0196306F
73087_0590_00016;2573E0031325U
73019_0042_00162;2573E1229114P
73181_0930_00225;2573E1150644N
73137_0080_00006;2573E0478801K
73204_0240_00006;2573E1339938B
73270_0490_00025;2573E0580246D
73290_0134;2573E0268730T
73313_0130_00031;2573E0672275S
73065_1760_00089;2573E1185393A
73131_0310_00300;2573E1110539A
73086_1sgx5m_00290;2573E0979520V
73257_0433;2573E1007274H
73058_0032_00250;2573E0692091W
73065_2300_00167;2573E0526345A
73304_kccrlg_00362;2573E0374501W
73065_0135_00173;2573E0066948X
73318_tjst4n;2573E1168905W
73087_0760_00003;2573E1021810J
73181_1300_00009;2573E0815025C
73179_0160_00237;2573E0502981K
73183_0040_00346;2573E0757515E
73008_1220_00032;2573E0644588V
73011_0633_00334;2573E1441170P
73296_0003;2573E0163165O
73227_2470;2573E1089416P
73181_0868_00030;2573E0265812N
73206_0014_00121;2573E0277240B
73059_0020_00035;2573E0960653E
73213_0546_00303;2573E0418128V
73318_tjst4n;2573E0493004R
73181_1440;2573E1166603I
73008_2140;2573E0202019Y
73031_0320_00005;2573E0590173Y
73261_0320;2573E1014744P
73065_0930_00325;2573E0460707M
73151_0820;2556E0571291B
73212_0017_00047;2573E0547763U
73215_0052;2573E0454245Y
73065_3868_00077;2573E0206879W
73240_1300_00040;2573E0829822F
73326_0790_01570;2573E0295738N
73065_3868_00077;2573E0206881Y
73065_0970_00151;2573E1402975O
73181_0930_00285;2573E1151515A
73179_0645_00179;2573E1406261Y
73328_0062_00043;2573E0461208T
73304_0205;2573E0605338F
73273_2200_00073;2573E0519840V
73248_0140_00006;2573E0518849S
73065_1743_00208;2573E0223392Z
73029_0470;2573E1100805Q
73150_0854_00367;2573E0094050H
73024_bvktlz_00968;2573E0369686R
73011_0080_00064;2573E1160890P
73129_0088;2573E0370752R
73008_1730;2573E1124983O
73085_0070_00146;2573E0213016X
73031_0241_01206;2573E1154586D
73257_0397_00075;2573E1264651K
73058_0067;2573E1024444R
73065_3190_00103;2573E1178140B
73065_2780_00567;2573E0617323E
73179_0385_00071;2573E1224489S
73215_0010_00002;2573E1309609O
73065_3700_00005;2573E0952025I
73008_0100_00001;2573E0442222N
73092_0110_00307;2573E0409354J
73288_0027_00005;2573E0295550H
73173_0052;2573E0913985G
73248_0535_00274;2573E0575247W
73058_0067;2573E1024450X
73261_0320;2573E1013889S
73011_1360_00061;2573E0598070R
73151_0820;2556E0610888A
73065_0670_00002;2573E1317006B
73008_0090_00031;2573E1218343I
73151_0820;2556E0632432Q
73008_0104_00142;2573E1342235K
73213_0458_00485;2573E0431974J
73330_0100_00081;2573E0255559E
73054_4zdm12;2573E0986121S
73114_0062_00322;2573E0484659S
73117_0200_00010;2573E0655751E
73204_A012;2573E0666628N
73087_0630_00022;2573E0095433M
73182_0140_00332;2573E1336630V
73261_0320;2573E1013869Y
73058_0032_00250;2573E0692106L
73307_pnah8o;2573E1183955S
73294_0032;2573E1409597G
73116_0935;2573E1110904B
73065_3143_00029;2573E0814864X
73204_A081;2573E0398925G
73008_0104_00142;2573E1341425G
73087_0760;2573E0243923Q
73008_1305_00027;2573E0568074Z
73280_0130;2573E0374382H
73262_0133;2573E1011441O
73065_1743_00208;2573E0223301M
73100_0030_00245;2573E0380473O
73030_0198_00078;2573E1275398T
73213_0460_00680;2573E0689073U
73065_1000_00025;2573E1134467I
73296_57e066;2573E1204850J
73008_1120_00007;2573E1404491W
73150_0871;2573E0385886T
73010_1055;2573E0048249S
73171_0260;2573E0711500J
73179_0646_00085;2573E0250882H
73296_0052;2573E0633415C
73024_fcuvnq_00095;2573E0995118T
73213_0450_00006;2573E1051909A
73006_0837_00034;2573E0771577A
73179_0380_00150;2573E0281838X
73307_ussab7_00046;2573E0628913Y
73008_0690_00014;2573E1437544D
73179_0300_00023;2573E1020551Y
73257_0433;2573E1094556H
73293_0170_00005;2573E0815901U
73307_f8ffni;2573E0975009I
73121_0035_00039;2573E0498332P
73304_0001;2573E0116607W
73261_0320;2573E1013814V
73064_0340_00070;2573E1294346N
73179_0499_00045;2573E0997692T
73191_0096_01125;2573E0863900X
73181_0140;2573E0343539A
73029_0360_00002;2573E1447628Z
73213_0460_00680;2573E0376059U
73065_0840_00669;2573E1373732V
73029_0470;2573E1100722L
73008_0918_00005;2573E0718507W
73154_0062_01675;2573E1302913A
73179_0380_00150;2573E0281845E
73117_0200_00010;2573E0655881E
73181_0940_00058;2473E4612782Q
73179_0640_00110;2573E0090171C
73204_A081;2573E0399059K
73123_0150_00044;2573E0430301A
73270_0490_00025;2573E0580283O
73204_0273;2573E0876824Z
73087_0490_00054;2573E0567824J
73107_6rmzuq;2573E0463798J
73029_0050;2573E1197430Z
73206_0033_00217;2573E1178451A
73223_0420;2573E0495865S
73296_rn1ltc_00229;2573E1372666V
73241_0165_00045;2573E1121889O
73065_3868_00077;2573E0206696V
73065_2770_00009;2573E0466059I
73236_0082_00095;2573E0886823O
73065_3lxzb8;2573E1295547S
73248_0680_00330;2573E0687853W
73008_0940_00050;2573E0320250H
73151_0820;2556E0010102W
73065_0840_00669;2573E0729250B
73303_0500_00013;2573E1230987Q
73173_0052;2573E0913957E
73008_1580_00013;2573E1195213S
73011_1463;2573E0275109C
73011_1140_00064;2573E0591459K
73227_A125;2573E1388498T
73304_0290;2573E1438275G
73008_2290_00051;2573E1233468B
73117_0066_00005;2573E0629390H
73008_0690_00014;2573E1437621C
73008_0330_00014;2573E1297388N
73008_1580;2573E0385406H
73065_2410_00169;2573E0251224L
73206_0014_00096;2573E1201694Z
73051_0220;2573E0061520D
73171_0260;2573E1393558J
73008_0865_00005;2573E0698266J
73010_2905_00955;2573E0748902X
73051_0060;2573E0427205Y
73031_0241_01086;2573E1356924J
73008_0940_00025;2573E1258879K
73021_0073_00070;2573E1060630L
73179_0640_00110;2573E0090193Y
73171_0260;2573E1057354L
73008_2300_00038;2573E1333005K
73008_1770_00095;2573E0788221E
73261_0320;2573E1014443A
73067_0107_00328;2573E0012532Z
73212_1015_00009;2573E0591721M
73031_0020_00073;2573E0939234J
73087_0760;2573E0243917K
